theta, rho
149.8,30.629
149.9,30.692
150.1,30.756
150.3,30.818
150.5,30.880
150.7,30.942
150.8,31.003
151.0,31.063
151.2,31.123
151.4,31.182
151.5,31.240
151.7,31.298
151.9,31.355
152.1,31.411
152.2,31.467
152.4,31.523
152.6,31.577
152.8,31.631
152.9,31.684
153.1,31.737
153.3,31.789
153.4,31.841
153.6,31.891
153.8,31.942
153.9,31.991
154.1,32.040
154.3,32.088
154.4,32.136
154.6,32.182
154.8,32.229
154.9,32.274
155.1,32.319
155.3,32.363
155.4,32.407
155.6,32.450
155.8,32.492
155.9,32.533
156.1,32.574
156.2,32.614
156.4,32.653
156.6,32.692
156.7,32.730
156.9,32.768
157.0,32.804
157.2,32.840
157.4,32.875
157.5,32.910
157.7,32.944
157.8,32.977
158.0,33.009
158.1,33.041
