THETA,RHO,YEAR
94.6,3.039,2000
90.0,2.954,2001
85.2,2.861,2002
79.9,2.758,2003
74.3,2.647,2004
68.2,2.528,2005
61.4,2.402,2006
53.8,2.269,2007
45.3,2.132,2008
35.6,1.994,2009
24.5,1.856,2010
11.6,1.725,2011
356.7,1.605,2012
339.6,1.506,2013
320.5,1.437,2014
300.1,1.409,2015
279.6,1.431,2016
260.3,1.500,2017
243.2,1.611,2018
228.5,1.748,2019
216.1,1.900,2020
205.6,2.057,2021
196.5,2.213,2022
188.7,2.364,2023
181.7,2.505,2024
175.5,2.638,2025
169.8,2.759,2026
164.6,2.869,2027
159.8,2.968,2028
155.3,3.056,2029
151.0,3.132,2030
146.9,3.198,2031
142.9,3.252,2032
139.1,3.295,2033
135.3,3.327,2034
131.6,3.349,2035
127.9,3.360,2036
124.3,3.360,2037
120.6,3.351,2038
117.0,3.331,2039
113.2,3.301,2040
109.4,3.262,2041
105.5,3.212,2042
101.4,3.152,2043
97.2,3.083,2044
92.7,3.004,2045
88.0,2.916,2046
83.0,2.819,2047
77.6,2.713,2048
71.8,2.598,2049
65.4,2.476,2050
