THETA,RHO
151.2,4.460
140.3,4.846
131.1,5.272
123.3,5.724
116.6,6.188
110.9,6.652
105.9,7.109
101.6,7.554
97.7,7.982
94.1,8.391
91.0,8.777
88.0,9.141
85.3,9.479
82.8,9.792
80.4,10.078
78.1,10.337
76.0,10.567
73.9,10.769
71.9,10.941
70.0,11.082
68.1,11.193
66.2,11.273
64.4,11.320
62.5,11.333
60.7,11.313
58.8,11.256
57.0,11.163
55.1,11.032
53.1,10.861
51.1,10.648
48.9,10.392
46.7,10.090
44.3,9.739
41.7,9.337
38.9,8.880
35.7,8.364
32.1,7.787
27.9,7.143
22.8,6.431
16.3,5.651
7.7,4.811
355.3,3.943
336.1,3.138
306.7,2.612
270.9,2.614
240.5,2.990
217.2,3.356
197.9,3.612
180.9,3.834
165.8,4.093
152.8,4.414
