THETA,RHO
260.5,1.493
254.7,1.315
246.9,1.123
235.8,0.912
217.4,0.680
179.0,0.444
104.5,0.409
60.1,0.655
41.3,0.924
30.7,1.168
23.7,1.389
18.5,1.591
14.4,1.777
11.1,1.951
8.4,2.114
6.0,2.268
3.9,2.414
2.0,2.553
0.4,2.685
358.8,2.812
357.5,2.933
356.2,3.050
355.0,3.162
353.9,3.269
352.8,3.373
351.9,3.474
350.9,3.571
350.1,3.664
349.2,3.755
348.4,3.842
347.7,3.927
346.9,4.009
346.2,4.089
345.6,4.166
344.9,4.241
344.3,4.313
343.7,4.384
343.1,4.452
342.5,4.518
342.0,4.582
341.4,4.645
340.9,4.705
340.4,4.764
339.9,4.821
339.4,4.876
338.9,4.929
338.5,4.981
338.0,5.031
337.6,5.080
337.1,5.127
336.7,5.172
